query,tweet,compound,neg,neu,pos
#BlackFriday,"✔️𝘽𝙡𝙖𝙘𝙠 𝙁𝙧𝙞𝙙𝙖𝙮 𝙎𝙖𝙡𝙚 𝙄𝙨 𝙂𝙤𝙞𝙣𝙜 𝙊𝙣 - 🛒𝘽𝙪𝙮 𝙏𝘼𝙓 𝙁𝙍𝙀𝙀 - 

🔗 https://t.co/FLno3O4Hxd

#blackfridaysale #blackfriday… https://t.co/y6GtTGHJrE",0.0,0.0,1.0,0.0
#BlackFriday,RT @cololights: This. Is. AWESOME! Plan on creating something crazy like this? NOW is the time to save up to 20% during our Black Friday sa…,0.8916,0.066,0.577,0.358
#BlackFriday,"RT @Ticats: Our Black Friday sale is here all weekend!

Shop up to 50% our Black Friday collection.

🛒| https://t.co/yIZI6USKFU

#Ticats |…",0.0,0.0,1.0,0.0
#BlackFriday,"It’s more than just a day friends. We’re taking Black Friday straight through the weekend.

#Sessions… https://t.co/TXBf3gggNU",0.6124,0.0,0.75,0.25
#BlackFriday,"RT @ShopRSApparel: Our Black Friday sale STARTS NOW!

For three days only, get FREE CRESTING with the purchase of your favourite team's jer…",0.6514,0.0,0.836,0.164
#BlackFriday,Black Friday sales are upon us and the best ones are RIGHT HERE! Check out some of our best selling mosaic artworks… https://t.co/qJdnSVrCoi,0.8655,0.0,0.707,0.293
#BlackFriday,"RT @elisahategan: Today's #Covidiots are byproducts of our consumerist society, defying death for #BlackFriday deals &amp; parties with friends…",-0.296,0.165,0.72,0.114
#BlackFriday,RT @LSRCA: Today’s #FishyFriday is brought to you by #BlackFriday! It is a sought-after pan fish by many anglers. We don’t catch many at ou…,0.0,0.0,1.0,0.0
#BlackFriday,"Sharing the Skip The Dishes $5 off referral link
https://t.co/X9FzQZgM5i

#discount  #skip #skipthedishes… https://t.co/CJ2pF0aGIP",0.4215,0.0,0.823,0.177
#BlackFriday,"🤑 Black Friday Madness 
Buy One Get One 50% Off
FREE SHIPPING 
https://t.co/VEzJBl25rd

#blackfriday… https://t.co/lFtM9KhVi5",0.2808,0.139,0.669,0.193
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,From one of my fave Toronto beauty brands - this #BlackFriday #CyberMonday weekend especially let's reconsider how… https://t.co/tqUPlFb3QN,0.7717,0.0,0.705,0.295
#BlackFriday,This. Is. AWESOME! Plan on creating something crazy like this? NOW is the time to save up to 20% during our Black F… https://t.co/aHym8c3RQA,0.8916,0.07,0.552,0.378
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,"When your #entrepreneur friends hear that you missed out on our #WhoTheDeckAreYou brand kit #BlackFriday deal.

Avo… https://t.co/bQI7Rh2qIc",0.2263,0.103,0.751,0.146
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,RT @blogTO: 10 holiday gift ideas in Toronto for those who want to shop local https://t.co/GLLyGwtlbv #Toronto #BlackFriday #ShopLocal,0.7096,0.0,0.699,0.301
#BlackFriday,"RT @ArbonneCanada: It's BLACK FRIDAY and we're celebrating! This weekend only, take 20% OFF EVERYTHING sitewide and get FREE SHIPPING on yo…",0.8412,0.0,0.714,0.286
#BlackFriday,10 holiday gift ideas in Toronto for those who want to shop local https://t.co/GLLyGwtlbv #Toronto #BlackFriday #ShopLocal,0.7096,0.0,0.67,0.33
#BlackFriday,"Hey Ladies 🌟
We sell AFFORDABLE, COLOURED Silk Lashes 🌈 &amp; 25MM, Faux Mink Lashes in 9 different styles✨✨ ORDER YOUR… https://t.co/XvtU8t5hqp",0.5574,0.0,0.833,0.167
#BlackFriday,"Happy Thanksgiving! Enjoy our 🦃 Day sale today-Sunday! Get 30% off The Abandons and Concluzio!

Get the deals here:… https://t.co/s4GldaJAii",0.7562,0.085,0.628,0.287
#BlackFriday,"Thanks to our pals at @Shopify for the pick me up during this busy #blackfriday weekend!

Much love ❤️🙏🏻

Excited t… https://t.co/YQSuqDcadb",0.8687,0.0,0.719,0.281
#BlackFriday,"https://t.co/N0j7uqQdPS
Happy Thanksgiving to all my American Friends! Find any good #blackfriday deals? I found so… https://t.co/kpW6RuCazO",0.8748,0.0,0.584,0.416
#BlackFriday,"RT @Ticats: Our Black Friday sale is here all weekend!

Shop up to 50% our Black Friday collection.

🛒| https://t.co/yIZI6USKFU

#Ticats |…",0.0,0.0,1.0,0.0
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,"Black Friday 2020 online shopping surges 22% to record $9 billion, Adobe says 

https://t.co/GZQda3hLuD #economy #blackfriday",0.0,0.0,1.0,0.0
#BlackFriday,"All weekend long!

Shop up to 50% off the BFCM collection!

🛒| https://t.co/VLK1pChFSv

#ForgeFC | #BlackFriday https://t.co/K4tc9NOYT6",0.0,0.0,1.0,0.0
#BlackFriday,"Want #cannabis inspired jewellery? Acapulco Gold co is having a #BlackFriday sale all weekend 🤩 

🛍Shop now:… https://t.co/51Iu2woxlT",0.5423,0.0,0.791,0.209
#BlackFriday,"30% off all pillow covers &amp; inserts, limited time only!

#pillow #pillowsale #holidaysale #blackfriday #cybermonday… https://t.co/AVsMu2LSh5",-0.2942,0.128,0.872,0.0
#BlackFriday,"RT @ShopRSApparel: Our Black Friday sale STARTS NOW!

For three days only, get FREE CRESTING with the purchase of your favourite team's jer…",0.6514,0.0,0.836,0.164
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,"ONE DAY SALE ONLY - GET ALL OFFICIAL LICENSED DC CHAIRS AT $150 OFF - OFFER ENDS TONIGHT! 

☑ BUY NOW, PAY LATER wi… https://t.co/CjcyBLuloc",-0.3453,0.082,0.918,0.0
#BlackFriday,"Our Black Friday sale is here all weekend!

Shop up to 50% our Black Friday collection.

🛒| https://t.co/yIZI6USKFU… https://t.co/r8vF1BFBZX",0.0,0.0,1.0,0.0
#BlackFriday,"🤑 Black Friday Madness
Buy One Get One 50% Off
FREE SHIPPING 
https://t.co/VEzJBkKuzF

#blackfriday… https://t.co/aqbCLgUMhz",0.2808,0.139,0.669,0.193
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,"RT @Toronto: It’s November 27, 2020.

If you’re doing some #BlackFriday shopping 🛍 today, please consider buying from smaller local #Toront…",0.3182,0.0,0.901,0.099
#BlackFriday,"Put your money where your home is.
.
.
#JenniferBourikas #BourikasHome #realtytalkwithjen #gtarealtor #blackfriday… https://t.co/lNuY3pwELI",0.0,0.0,1.0,0.0
#BlackFriday,Today is #ShopSmallSaturday so you know what that means... You have to check out @cubedstyle mind blowing… https://t.co/U1YQGI4Pnb,0.0,0.0,1.0,0.0
#BlackFriday,@cubedstyle #BlackFriday sale continues TODAY!! Check out these mind blowing #deals and don’t forget today is… https://t.co/2T0vTr8wTw,-0.3578,0.134,0.866,0.0
#BlackFriday,"Shop my sale: 25% off when you spend CA$30! https://t.co/It7sHNQo8h #etsy #polymerclaycharms #astrology,… https://t.co/twRctKNn75",0.0,0.0,1.0,0.0
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,RT @THS_tweet: Do you still need a gift for the animal lover on your list? Shop our Holiday Market #BlackFriday sale and purchase gifts tha…,0.8555,0.0,0.701,0.299
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,Do you still need a gift for the animal lover on your list? Shop our Holiday Market #BlackFriday sale and purchase… https://t.co/tPREbeZ30Y,0.8555,0.0,0.669,0.331
#BlackFriday,"Thankful for NeverSettle’s First Black Friday!! 

Enjoy 30% off everything on our store from Nov 26-Nov 29
🚨🚨⚡️… https://t.co/hcPIJ0enG2",0.8168,0.0,0.762,0.238
#BlackFriday,"RT @elisahategan: Today's #Covidiots are byproducts of our consumerist society, defying death for #BlackFriday deals &amp; parties with friends…",-0.296,0.165,0.72,0.114
#BlackFriday,RT @MJunkie88: The #JeffreeStarCosmetics #BlackFriday Sale is officially starting in a matter of hours ! What are you picking up?? 🎁🎄⭐️✨ @J…,0.7142,0.0,0.775,0.225
#BlackFriday,"As Canadians shop online to limit physical contact and keep businesses afloat, how cool is it that we can shop onli… https://t.co/H1rXEi6yQd",0.3182,0.0,0.901,0.099
#BlackFriday,RT @FrontRowSport: BOOMERANG PASSERS ARE 50% BACK ON A REWARDS CARD! Take advantage of these awesome #BlackFriday deals on all hockey train…,0.8814,0.0,0.65,0.35
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,"Praise Allah for click-n-collect, free shipping, and curbside pickup because those photos from inside… https://t.co/iTWLETnumm",0.7845,0.0,0.653,0.347
#BlackFriday,"Now that #BlackFriday is gone, it's time to give. Post an #Unslefie showing why you support hEr VOLUTION with a ple… https://t.co/kuGOh43hlr",0.4019,0.0,0.886,0.114
#BlackFriday,"RT @BarrysPremium: Black Friday Blowout
Shine bright with Barry's Premium
Everything in store on sale Upto 50%

https://t.co/nyQToFp7kI
#bl…",0.4404,0.0,0.861,0.139
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,"Well, we survived another #BlackFriday - here comes #GivingTuesday
Giving Tuesday (on Dec. 1 this year) started in… https://t.co/a1Un1OP0tb",0.7783,0.0,0.672,0.328
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,BOOMERANG PASSERS ARE 50% BACK ON A REWARDS CARD! Take advantage of these awesome #BlackFriday deals on all hockey… https://t.co/m8mySgRRH0,0.8814,0.0,0.624,0.376
#BlackFriday,"I hate #BlackFriday because every time I think I got a good deal, there's a better deal shortly after my purchase.",0.2732,0.135,0.655,0.211
#BlackFriday,Help support the local economy and consider #SmallBusiness when you do your Christmas shopping this year.… https://t.co/xE7YLpUQzT,0.6597,0.0,0.735,0.265
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,"I usually save all my gear needs for Black Friday and this right here, is a DEAL. Not sure who needs this but thoug… https://t.co/4VV4P2UKdn",0.1578,0.056,0.865,0.079
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,"RT @NexTech_AR: #CyberMonday will once again be the biggest online spending day in US history w/ sales of $12.89 billion, up 38.3% from 201…",0.0,0.0,1.0,0.0
#BlackFriday,"Did you survive #BlackFriday ?
After the bedlam of yesterday why not join the movement that arose to refocus on giv… https://t.co/P4Mj74Wma7",-0.2235,0.082,0.918,0.0
#BlackFriday,"RT @LouisBusch: It's been over two years since @fordnation &amp; @MacLeodLisa froze the OAP waitlist and began dismantling autism services.

@T…",0.0,0.0,1.0,0.0
#BlackFriday,"RT @Allturf_Ltd: Limited Quantities available! - #Flir for @Android Infra-Red Camera
Contact your Allturf_Rep to take advantage of 50% off…",0.1007,0.086,0.811,0.103
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,"Funko Pop! The Simpsons Treehouse Of Horror Available Now!

Black Friday Sale still going on all weekend!

Purchase… https://t.co/bgLF9c1hPw",-0.6784,0.203,0.797,0.0
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
